link_post,total_likes,total_comments
https://www.instagram.com/reel/CvcQRW4Oo7j/,71.0,0.0
https://www.instagram.com/reel/CvUnpPxsJOV/,110.0,3.0
https://www.instagram.com/p/Csu_-sBSfgC/,79.0,0.0
https://www.instagram.com/reel/Csu_gWvrdZg/,92.0,0.0
https://www.instagram.com/p/Csu-w9CyiSN/,83.0,0.0
https://www.instagram.com/reel/CqH0tnPvu8M/,81.0,0.0
https://www.instagram.com/p/CqA-a_vysQ-/,42.0,0.0
https://www.instagram.com/reel/CqA9sAbMmI-/,50.0,0.0
https://www.instagram.com/p/CqA9bH_SQjq/,37.0,0.0
https://www.instagram.com/p/CpHeSfnS5At/,46.0,0.0
https://www.instagram.com/p/CpHdHwISKZp/,74.0,2.0
https://www.instagram.com/p/CopBYegy8tN/,79.0,0.0
https://www.instagram.com/reel/CopAx89rjXm/,165.0,0.0
https://www.instagram.com/p/CopAkKXSmCB/,84.0,1.0
https://www.instagram.com/p/CnZa3SWyfhz/,82.0,0.0
https://www.instagram.com/reel/CnZaLGHhPCc/,338.0,4.0
https://www.instagram.com/p/CnZZ8R2SR-_/,153.0,0.0
https://www.instagram.com/reel/Cm1wfEBh2Tb/,37.0,0.0
https://www.instagram.com/reel/Cmd4YgDh4uX/,30.0,0.0
https://www.instagram.com/p/Cmd4MVLPJS7/,44.0,0.0
https://www.instagram.com/reel/Cl3kTcqsCZ_/,28.0,0.0
https://www.instagram.com/p/Cl3j7rNywHQ/,25.0,0.0
https://www.instagram.com/p/Cl3jqNFS8hA/,24.0,1.0
https://www.instagram.com/reel/ClToJ0fJVPU/,48.0,0.0
https://www.instagram.com/reel/ClLh68auGxb/,65.0,0.0
https://www.instagram.com/reel/ClJDqiZr_b3/,143.0,2.0
https://www.instagram.com/reel/ClBZnLPpfI-/,46.0,0.0
https://www.instagram.com/p/ClBZf8dyq01/,37.0,0.0
https://www.instagram.com/reel/ClBYymxOfPz/,43.0,0.0
https://www.instagram.com/p/Ck49xa9yWqW/,22.0,0.0
https://www.instagram.com/p/Ck49tYmSire/,21.0,0.0
https://www.instagram.com/p/Ck49qboys-g/,30.0,1.0
https://www.instagram.com/reel/CkpOa4UgFXw/,51.0,1.0
https://www.instagram.com/p/CkVYNzgSDsF/,30.0,0.0
https://www.instagram.com/p/CkUrUOnyhhL/,42.0,0.0
https://www.instagram.com/p/CkN6ERApl9Q/,41.0,0.0
https://www.instagram.com/reel/CkM_BOYun1g/,63.0,1.0
https://www.instagram.com/reel/CkDPTN5M18r/,59.0,0.0
https://www.instagram.com/reel/CkAzX8dPgPS/,31.0,0.0
https://www.instagram.com/reel/Cj9RizfAo2Y/,23.0,0.0
https://www.instagram.com/reel/CjsVXtsps0K/,78.0,2.0
https://www.instagram.com/reel/Ch9mKkPJWl3/,45.0,0.0
https://www.instagram.com/reel/Chg182MJCUk/,50.0,0.0
https://www.instagram.com/p/ChetN6spTdk/,46.0,0.0
https://www.instagram.com/p/ChEyUh5p-7d/,50.0,3.0
https://www.instagram.com/p/Cg1hdkpJkcf/,41.0,0.0
https://www.instagram.com/p/Cgl-EqRpDOU/,67.0,0.0
https://www.instagram.com/p/CgjbgD6pewD/,61.0,3.0
https://www.instagram.com/p/CgblLOBpqxH/,129.0,8.0
https://www.instagram.com/p/CgW1nSjJWi8/,61.0,0.0
